playerid,BBrefMinorsID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,firstname,lastname,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debutYear,finalGame,college,lahmanID,MlbID,SeamheadsRetroID,holtzID,BBrefMLBid,Ethnicity,Arm Slot,,,,,,,,,,
10177,50177,,,1980,10,19,South Korea,,Seoul,,,,,,,Si-heon,Son,,Si-Heon Son,,172,67,R,R,2003,2019,Dong-eui University,10177,,,,10177,Asian,4,,,,,,,,,,
1352,41352,,,1963,8,28,South Korea,,Daegu,,,,,,,Jeong-hun,Lee,,Jeong-Hun Lee,,169,66,L,L,1987,1997,Dong-A University,1352,,,,1352,Asian,4,,,,,,,,,,
10099,50099,,,1970,2,13,South Korea,,Wonju,,,,,,,Kyung-hyun,An,,Kyung-Hyun An,,182,71,R,R,1992,2010,Yonsei University,10099,,,,10099,Asian,4,,,,,,,,,,
10195,50195,,,1990,10,7,South Korea,,Suwon,,,,,,,Soo-bin,Jeong,,Soo-Bin Jeong,,175,68,L,L,2009,2024,,10195,,,,10195,Asian,4,,,,,,,,,,
1009,41009,,,1957,9,21,South Korea,,Busan,,,,,,,Yong-chul,Kim,,Yong-Chul Kim,,184,72,R,R,1982,1992,,1009,,,,1009,Asian,4,,,,,,,,,,
10030,50030,,,1985,5,19,South Korea,,Seoul,,,,,,,Ji-wahn,Na,,Ji-Wahn Na,,182,71,R,R,2008,2022,Dankook University,10030,,,,10030,Asian,4,,,,,,,,,,
10387,50387,,,1990,4,7,South Korea,,Seoul,,,,,,,Dong-won,Park,,Dong-Won Park,,178,70,R,R,2009,2024,,10387,,,,10387,Asian,4,,,,,,,,,,
10239,50239,,,1981,3,25,South Korea,,Seoul,,,,,,,Joo-chan,Kim,,Joo-Chan Kim,,183,72,R,R,2000,2021,,10239,,,,10239,Asian,4,,,,,,,,,,
1450,41450,,,1966,7,29,South Korea,,Seoul,,,,,,,Myong-soo,Lee,,Myong-Soo Lee,,181,71,R,R,1989,2001,Korea University,1450,,,,1450,Asian,4,,,,,,,,,,
12546,52546,,,1993,11,21,South Korea,,Ansan,,,,,,,Chang-ki,Hong,,Chang-Ki Hong,,189,74,L,R,2016,2024,Konkuk University,12546,,,,12546,Asian,4,,,,,,,,,,
11467,51467,,,1963,4,28,South Korea,,Pohang,,,,,,,Jung-il,Ryu,,Jung-Il Ryu,,176,69,R,R,1987,1999,Hanyang University,11467,,,,11467,Asian,4,,,,,,,,,,
10627,50627,,,1981,7,1,South Korea,,Suwon,,,,,,,Han-jun,Yoo,,Han-Jun Yoo,,186,73,R,R,2005,2021,Dongguk University,10627,,,,10627,Asian,4,,,,,,,,,,
1247,41247,,,1963,2,25,South Korea,,Seoul,,,,,,,Deog-kyu,Yun,,Deog-Kyu Yun,,178,70,L,L,1985,1997,,1247,,,,1247,Asian,4,,,,,,,,,,
12905,52905,,,1999,1,27,South Korea,,Incheon,,,,,,,Hye-sung,Kim,,Hye-Sung Kim,Comet,179,70,L,R,2017,2024,,12905,,,,12905,Asian,4,,,,,,,,,,
1500,41500,,,1967,7,17,South Korea,,Gwangju,,,,,,,Ho-sung,Lee,,Ho-Sung Lee,,180,70,R,R,1990,2001,Yonsei University,1500,,,,1500,Asian,4,,,,,,,,,,
1239,41239,,,1962,8,18,South Korea,,Seoul,,,,,,,Hyung-seok,Kim,,Hyung-Seok Kim,,185,72,L,L,1985,1998,Chung-Ang University,1239,,,,1239,Asian,4,,,,,,,,,,
10320,50320,,,1990,3,23,South Korea,,Pohang,,,,,,,Sang-su,Kim,,Sang-Su Kim,,175,68,R,R,2013,2024,Daegu Cyber University,10320,,,,10320,Asian,4,,,,,,,,,,
10564,50564,,,1974,4,20,South Korea,,Pohang,,,,,,,Dong-woo,Kang,,Dong-Woo Kang,,177,69,L,L,1998,2013,Dankook University,10564,,,,10564,Asian,4,,,,,,,,,,
1299,41299,,,1961,2,27,South Korea,,Daegu,,,,,,,Kang-don,Lee,,Kang-Don Lee,,175,68,L,L,1986,1997,Konkuk University,1299,,,,1299,Asian,4,,,,,,,,,,
10108,50108,,,1982,9,13,South Korea,,Pohang,,,,,,,Kang-min,Kim,,Kang-Min Kim,Beast,182,71,R,R,2002,2024,,10108,,,,10108,Asian,4,,,,,,,,,,
12964,52964,,,1971,10,30,South Korea,,Gwangyang,,,,,,,Han-soo,Kim,,Han-Soo Kim,,188,74,R,R,1994,2007,Chung-Ang University,12964,,,,12964,Asian,4,,,,,,,,,,
10400,50400,,,1986,10,29,South Korea,,Seongnam,,,,,,,Jae-il,Oh,,Jae-Il Oh,,187,73,L,L,2005,2024,,10400,,,,10400,Asian,4,,,,,,,,,,
10009,50009,,,1973,9,14,South Korea,,Gwangju,,,,,,,Jong-guk,Kim,,Jong-Guk Kim,,180,70,R,R,1996,2010,Korea University,10009,,,,10009,Asian,4,,,,,,,,,,
1143,41143,,,1956,12,15,South Korea,,Daejeon,,,,,,,Gu-sun,Jung,,Gu-Sun Jung,,178,70,R,R,1983,1990,Dongguk University,1143,,,,1143,Asian,4,,,,,,,,,,
1505,41505,,,1968,4,5,South Korea,,Incheon,,,,,,,Kyung-ki,Kim,,Kyung-Ki Kim,Mr.Incheon,185,72,R,R,1990,2001,Korea University,1505,,,,1505,Asian,4,,,,,,,,,,
2120,42120,,,1972,5,28,Dominican Republic,,,,,,,,,Tilson,Brito,,Tilson Manuel Brito Jim?nez,,183,72,R,R,2000,2005,,2120,,,,2120,Asian,4,,,,,,,,,,
10463,50463,,,1975,5,25,South Korea,,Seoul,,,,,,,In-sung,Jo,,In-Sung Jo,,182,71,R,R,1998,2017,Yonsei University,10463,,,,10463,Asian,4,,,,,,,,,,
1024,41024,,,1955,6,28,South Korea,,Seoul,,,,,,,Kwang-eun,Lee,,Kwang-Eun Lee,,178,70,R,R,1982,1991,Yonsei University,1024,,,,1024,Asian,4,,,,,,,,,,
10184,50184,,,1990,8,26,South Korea,,Gwangju,,,,,,,Kyeong-min,Heo,,Kyeong-Min Heo,,176,69,R,R,2009,2024,,10184,,,,10184,Asian,4,,,,,,,,,,
10550,50550,,,1973,1,3,South Korea,,Busan,,,,,,,Min-jae,Kim,,Min-Jae Kim,,181,71,R,R,1991,2009,,10550,,,,10550,Asian,4,,,,,,,,,,
2031,42031,,,1969,8,19,United States,,,,,,,,,Tyrone,Woods,,Tyrone Woods,Black Bear,183,72,R,R,1998,2002,,2031,,,,2031,Asian,4,,,,,,,,,,
10238,50238,,,1988,12,17,South Korea,,Seoul,,,,,,,Min-sung,Kim,,Min-Sung Kim,,181,71,R,R,2007,2024,Yeungnam Cyber University,10238,,,,10238,Asian,4,,,,,,,,,,
1083,41083,,,1956,6,1,South Korea,,Seoul,,,,,,,Seung-an,Yu,,Seung-An Yu,,180,70,R,R,1982,1991,Mokwon University,1083,,,,1083,Asian,4,,,,,,,,,,
13168,53168,,,1999,7,29,South Korea,,Seoul,,,,,,,Baek-ho,Kang,,Baek-Ho Kang,,184,72,L,R,2018,2024,,13168,,,,13168,Asian,4,,,,,,,,,,
12657,52657,,,1971,4,8,South Korea,,Busan,,,,,,,Won-woo,Cho,,Won-Woo Cho,,178,70,R,R,1994,2008,Korea University,12657,,,,12657,Asian,4,,,,,,,,,,
10411,50411,,,1974,4,21,United States,,,,,,,,,Cliff,Brumbaugh,,Clifford Michael Brumbaugh,,186,73,R,R,2003,2009,,10411,,,,10411,Asian,4,,,,,,,,,,
1139,41139,,,1959,6,12,South Korea,,Seoul,,,,,,,Jong-hoon,Park,,Jong-Hoon Park,,176,69,L,L,1983,1989,Korea University,1139,,,,1139,Asian,4,,,,,,,,,,
1193,41193,,,1960,7,6,South Korea,,Seoul,,,,,,,Sang-hoon,Kim,,Sang-Hoon Kim,,185,72,L,L,1984,1995,Dong-A University,1193,,,,1193,Asian,4,,,,,,,,,,
10753,50753,,,1992,7,15,South Korea,,Seoul,,,,,,,Kang-nam,Yoo,,Kang-Nam Yoo,,182,71,R,R,2011,2024,,10753,,,,10753,Asian,4,,,,,,,,,,
11252,51252,,,1986,11,10,United States,,,,,,,,,Eric,Thames,,Eric Allyn Thames,,183,72,L,R,2014,2016,,11252,,,,11252,Asian,4,,,,,,,,,,
10170,50170,,,1989,8,27,South Korea,,Seoul,,,,,,,Jae-hun,Choi,,Jae-Hun Choi,,178,70,R,R,2008,2024,Korea National Open University,10170,,,,10170,Asian,4,,,,,,,,,,
1194,41194,,,1954,11,14,South Korea,,,,,,,,,Mun-jong,Hong,,Mun-Jong Hong,,,,L,L,1984,1990,,1194,,,,1194,Asian,4,,,,,,,,,,
1019,41019,,,1961,8,19,South Korea,,Gongju,,,,,,,Kyung-sik,Shin,,Kyung-Sik Shin,,190,74,L,L,1982,1995,,1019,,,,1019,Asian,4,,,,,,,,,,
10102,50102,,,1974,2,20,South Korea,,Incheon,,,,,,,Kyoung-bae,Chung,,Kyoung-Bae Chung,,176,69,R,R,1996,2009,Hongik University,10102,,,,10102,Asian,4,,,,,,,,,,
2090,42090,,,1965,5,2,Dominican Republic,,,,,,,,,Felix,Jose,,Felix Jose,Black Seagull,183,72,S,R,1999,2007,,2090,,,,2090,Asian,4,,,,,,,,,,
10543,50543,,,1975,5,24,South Korea,,Seoul,,,,,,,Do-hyung,Lee,,Do-Hyung Lee,,182,71,R,R,1994,2010,,10543,,,,10543,Asian,4,,,,,,,,,,
10182,50182,,,1988,2,28,South Korea,,Gwangju,,,,,,,Joo-hwan,Choi,,Joo-Hwan Choi,,177,69,L,R,2006,2024,,10182,,,,10182,Asian,4,,,,,,,,,,
1421,41421,,,1967,12,7,South Korea,,Daejeon,,,,,,,Seok-chun,Kang,,Seok-Chun Kang,,185,72,R,R,1989,2003,Inha University,1421,,,,1421,Asian,4,,,,,,,,,,
10235,50235,,,1990,1,17,South Korea,,Changwon,,,,,,,Sung-woo,Jang,,Sung-Woo Jang,,187,73,R,R,2009,2024,Yeungnam Cyber University,10235,,,,10235,Asian,4,,,,,,,,,,
10188,50188,,,1987,3,10,South Korea,,Seoul,,,,,,,Byeong-heon,Min,,Byeong-Heon Min,,178,70,R,R,2006,2021,,10188,,,,10188,Asian,4,,,,,,,,,,
1420,41420,,,1964,2,25,South Korea,,Daegu,,,,,,,Ki-woong,Kang,,Ki-Woong Kang,,173,68,R,R,1989,1996,Yeungnam University,1420,,,,1420,Asian,4,,,,,,,,,,
1282,41282,,,1963,4,5,South Korea,,Cheonan,,,,,,,Sang-guk,Kim,,Sang-Guk Kim,,,,R,R,1986,1997,Hanyang University,1282,,,,1282,Asian,4,,,,,,,,,,
10029,50029,,,1978,12,18,South Korea,,Seoul,,,,,,,Won-seop,Kim,,Won-Seop Kim,,180,70,L,R,2001,2017,Dankook University,10029,,,,10029,Asian,4,,,,,,,,,,
10815,50815,,,1989,8,9,South Korea,,Changwon,,,,,,,Yu-seom,Han,,Yu-Seom Han,,190,74,L,R,2012,2024,Kyungsung University,10815,,,,10815,Asian,4,,,,,,,,,,
10254,50254,,,1976,12,23,South Korea,,Seoul,,,,,,,Sung-hwan,Cho,,Sung-Hwan Cho,Captain Jo,181,71,R,R,1999,2014,Wonkwang University,10254,,,,10254,Asian,4,,,,,,,,,,
1256,41256,,,1962,11,14,South Korea,,Busan,,,,,,,Young-jun,Han,,Young-Jun Han,,171,67,R,R,1985,1996,Korea University,1256,,,,1256,Asian,4,,,,,,,,,,
